null,ChIJPxby35PCUjoRRJ61xJRXQfI,"Kanchi Kamakoti Peetam Veda Patasala","","No 8, Anaikatti St, Nethaji Nagar, Kanchipuram, Tamil Nadu 631501, Indien","Nethaji Nagar",12.81821090000000,79.72253099999999,SearchResult.TYPE_SCHOOL,
null,ChIJ7VJsNFDNqjsRfg9A2Oak2ps,"RAJA VEDA PATASALA","","Valayapettai Agraharam, Kumbakonam, Tamil Nadu 612001, Indien","Valayapettai Agraharam",10.96493130000000,79.37164870000000,SearchResult.TYPE_SCHOOL,
null,ChIJReKYYMFdUjoRXxWyPF5uC1U,"Kalavai Guruparampara Veda Vidya Trust Patasala","","3rd Cross St, Rajaji Nagar, Kuberan Nagar Extention, Madipakkam, Chennai, Tamil Nadu 600091, Indien","Rajaji Nagar, Kuberan Nagar Extention, Madipakkam",12.96152820000000,80.20449459999999,SearchResult.TYPE_SCHOOL,
null,ChIJ6e1lZ7VnUjoRXQl7UNUnUhI,"Seetharama Gurukulam Veda Patasala","","New 486 (Old No. 176, TT Krishnamachari Rd, Alwarpet, Chennai, Tamil Nadu 600018, Indien","Seetammal Colony, MIG Colony, Alwarpet",13.03453580000000,80.25374049999999,SearchResult.TYPE_SCHOOL,+914424361210
null,ChIJWfLetP4WUzoRG-dHs_YQw9w,"Sri Baala Veda Patasala","","109,GST Road,, Kadamalaiputhur Village Perumberkandigai Post, Acharapakkam, Tamil Nadu 603310, Indien","null",12.37714300000000,79.78923700000000,SearchResult.TYPE_SCHOOL,+919840912762
null,ChIJsSOq6VHNqjsRUavWyHhQuVY,"Raaja Veda Kavya Patasala","","29-30, East Iyen Street,, Entrance Yaga Salari Street, Kumbakonam, Tamil Nadu 612001, Indien","Karna Kollai Agraharam, Valayapettai Agraharam",10.96461660000000,79.37346029999999,SearchResult.TYPE_SCHOOL,+914352401789
null,ChIJLZm83GZnUjoRNYnfe_GD6iI,"Vedabhavan Veda patasala","","14,  38, Chakrapani St Ext, Rangarajapuram, West Mambalam, Chennai, Tamil Nadu 600033, Indien","Rangarajapuram, West Mambalam",13.04528350000000,80.22383860000000,SearchResult.TYPE_SCHOOL,
null,ChIJOQgpT1vNqjsRv6OxtxMWHxQ,"Sri Mantra Peeteswari Veda Patasala","","125/5 Govindha DIKSHITAR COLONY, Solaiappan St, Kumbakonam, Tamil Nadu 612001, Indien","Valayapettai Agraharam",10.96407360000000,79.36447790000000,SearchResult.TYPE_SCHOOL,+919840318675
null,ChIJF_uaVOvpBjsRM50JhMTfz6I,"Ramco Veda Patasala","","Tamil Nadu 626117, Indien","null",9.42805560000000,77.53916670000000,SearchResult.TYPE_TEMPLE,
null,ChIJXeGxZyH7UjoRug9TbSsvHsU,"Sri Chaturveda Vidhya Ganapathi Vedashram","","28, Krishna Gardens Layout,, Opp Tools Factory, Athur, Chengalpattu, Tamil Nadu 603101, Indien","null",12.74591500000000,79.93760700000000,SearchResult.TYPE_SCHOOL,+914427402811
null,ChIJcbjqphxfUjoRbug70QlfzvA,"Veda Patasala","","3rd St, Aravind Nagar, Madambakkam, Chennai, Tamil Nadu 600126, Indien","Aravind Nagar, Madambakkam",12.90886120000000,80.16248089999999,SearchResult.TYPE_SCHOOL,
null,ChIJ4Xk88oe_rDsRbwwPednoLbg,"Ma Devaki Veda Patasala","","115G, Puduchery Rd, TSR Nagar, Tiruvannamalai, Tamil Nadu 606603, Indien","TSR Nagar",12.21787350000000,79.05432650000000,SearchResult.TYPE_SCHOOL,+919443317942
null,ChIJ34gnCQ-HUjoR-aN0vqPnr8s,"Sri jagadguru Veda Kavya Vidyabhavanam","","Guruvoyal main road, Guruvoyal Village, Tiruvallur, Tamil Nadu 600052, Indien","null",13.21937000000000,80.06667999999999,null,+917299914703
null,ChIJVeqOJ3VuqDsRuaQNWx620KI,"VEDA RAKSHANA SAMITHI","","Ramanathapuram, Palakkad, Kerala 678014, Indien","Ramanathapuram",10.78250370000000,76.66521380000000,SearchResult.TYPE_SCHOOL,+914912547196
null,ChIJO_vneUH2pzsR694Rvphyv1c,"Kamakoti Yajurveda Patasala","","Irinjalakuda, near Koodalmanikyam Temple, Thrissur, Kerala 680121, Indien","null",10.34648870000000,76.20243180000000,null,
null,ChIJAQAAANRtqDsRgR7undkFw4k,"VEDA SASTHRA VIDHYA TRUST","","SNV Patasala Samrakshana Samithi, SNV Patasala, Pallatheri, Kerala 678007, Indien","Sahyadri Colony, Chandranagar Colony",10.77497500000000,76.68169619999999,null,+919447879606
null,ChIJVeqOJ3VuqDsRuaQNWx620KI,"VEDA RAKSHANA SAMITHI","","Ramanathapuram, Palakkad, Kerala 678014, Indien","Ramanathapuram",10.78250370000000,76.66521380000000,SearchResult.TYPE_SCHOOL,+914912547196
null,ChIJO_vneUH2pzsR694Rvphyv1c,"Kamakoti Yajurveda Patasala","","Irinjalakuda, near Koodalmanikyam Temple, Thrissur, Kerala 680121, Indien","null",10.34648870000000,76.20243180000000,null,
null,ChIJAQAAANRtqDsRgR7undkFw4k,"VEDA SASTHRA VIDHYA TRUST","","SNV Patasala Samrakshana Samithi, SNV Patasala, Pallatheri, Kerala 678007, Indien","Sahyadri Colony, Chandranagar Colony",10.77497500000000,76.68169619999999,null,+919447879606
null,ChIJAQAAANRtqDsRgR7undkFw4k,"VEDA SASTHRA VIDHYA TRUST","","SNV Patasala Samrakshana Samithi, SNV Patasala, Pallatheri, Kerala 678007, Indien","Sahyadri Colony, Chandranagar Colony",10.77497500000000,76.68169619999999,null,+919447879606
null,ChIJO_vneUH2pzsR694Rvphyv1c,"Kamakoti Yajurveda Patasala","","Irinjalakuda, near Koodalmanikyam Temple, Thrissur, Kerala 680121, Indien","null",10.34648870000000,76.20243180000000,null,
null,ChIJEQLOGPhtqDsRT5myUnH-n6g,"Nurani Veda Dharma Patasala","","Single St, Thondikulam, Nurani, Palakkad, Kerala 678004, Indien","Thondikulam, Nurani",10.76812460000000,76.64258360000000,null,
null,ChIJVeqOJ3VuqDsRuaQNWx620KI,"VEDA RAKSHANA SAMITHI","","Ramanathapuram, Palakkad, Kerala 678014, Indien","Ramanathapuram",10.78250370000000,76.66521380000000,SearchResult.TYPE_SCHOOL,+914912547196
null,ChIJFTaYE-ZYqDsRq_l1tYPQ-M8,"VEDA SASTHRA VIDHYA TRUST","","No: 239, Alagesan Rd, Jawahar Nagar, Coimbatore, Tamil Nadu 641011, Indien","Jawahar Nagar",11.02289930000000,76.94602210000000,null,+919894619671
null,ChIJvVQ7nqwUqDsRkOG2gTrfnCs,"Padasala Sanskrit High School","","Thekkegramam, Chittur, Kerala 678101, Indien","Thekkegramam",10.69315190000000,76.73946910000000,SearchResult.TYPE_SCHOOL,+914923222126
null,ChIJF_uaVOvpBjsRM50JhMTfz6I,"Ramco Veda Patasala","","Tamil Nadu 626117, Indien","null",9.42805560000000,77.53916670000000,SearchResult.TYPE_TEMPLE,
null,ChIJFaISUzU-rjsR-JqXD6WaJnA,"Shri Gautama Veda Pathashala","","FF-1 Sapthagiri Residency VI, TG Layout, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085, Indien","TG Layout, Ittamadu, Banashankari 3rd Stage, Hosakerehalli",12.91947780000000,77.53946580000000,SearchResult.TYPE_SKILL_INSTRUCTION,+919972955122
null,ChIJlSj0bGRBuzsR2ws_-Z3sYXw,"Sringeri Veda Pathashala","","Menase, Karnataka 577139, Indien","null",13.41278020000000,75.25472060000000,null,
null,ChIJdR0rl-JArjsRNJ0l7mQfBig,"Veda Agama Samskrutha Maha Patashala, Sri Sri Gurukul","","Sanskrit School, Bengaluru, Karnataka 560082, Indien","null",12.82835960000000,77.50283170000000,SearchResult.TYPE_SCHOOL,+918026080210
null,ChIJf8RBL513rzsRA8jtgvk6Pqk,"Sri vedamata veda Gurukula Pathashala","","Poornaiah Rd, Srirangapatna, Karnataka 571438, Indien","null",12.42439660000000,76.68719349999999,SearchResult.TYPE_SCHOOL,+919341257336
null,ChIJQ329WWlBBzsRjZ5K48UiyjU,"Vidya bharathi saanga veda paripalana sabha","","Melmangalam, Tamil Nadu 625562, Indien","null",10.05178990000000,77.56767350000000,SearchResult.TYPE_SCHOOL,
null,ChIJm6A4zJw9rjsR5_PGMN6Lb2o,"Sri Sachidananda Advaitha Veda Patasala","","Door No,  1012, 66th Cross Rd, 5th Block, Jedara Halli, Rajajinagar, Bengaluru, Karnataka 10, Indien","5th Block, Jedara Halli, Rajajinagar",12.98252600000000,77.55063659999999,SearchResult.TYPE_HINDU_TEMPLE,
null,ChIJWfLetP4WUzoRG-dHs_YQw9w,"Sri Baala Veda Patasala","","109,GST Road,, Kadamalaiputhur Village Perumberkandigai Post, Acharapakkam, Tamil Nadu 603310, Indien","null",12.37714300000000,79.78923700000000,SearchResult.TYPE_SCHOOL,+919840912762
null,ChIJ7VJsNFDNqjsRfg9A2Oak2ps,"RAJA VEDA PATASALA","","Valayapettai Agraharam, Kumbakonam, Tamil Nadu 612001, Indien","Valayapettai Agraharam",10.96493130000000,79.37164870000000,SearchResult.TYPE_SCHOOL,
null,ChIJ5whnRX8VrjsRk2hlpWMMFhE,"Veda Pata","","33rd Cross Rd, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070, Indien","Banashankari Stage II, Banashankari",12.91986600000000,77.56692450000000,SearchResult.TYPE_UNIVERSITY,
null,ChIJ4Xk88oe_rDsRbwwPednoLbg,"Ma Devaki Veda Patasala","","115G, Puduchery Rd, TSR Nagar, Tiruvannamalai, Tamil Nadu 606603, Indien","TSR Nagar",12.21787350000000,79.05432650000000,SearchResult.TYPE_SCHOOL,+919443317942
null,ChIJ6e1lZ7VnUjoRXQl7UNUnUhI,"Seetharama Gurukulam Veda Patasala","","New 486 (Old No. 176, TT Krishnamachari Rd, Alwarpet, Chennai, Tamil Nadu 600018, Indien","Seetammal Colony, MIG Colony, Alwarpet",13.03453580000000,80.25374049999999,SearchResult.TYPE_SCHOOL,+914424361210
null,ChIJSxmc09L1qjsR8ZF0MBg2QVY,"AMK Rig Veda Padasalai","","Sannathi St, Srirangam, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005, Indien","Srirangam, Thiruvanaikoil",10.85286280000000,78.70205310000000,SearchResult.TYPE_TEMPLE,+914312230586
null,ChIJk6EisSERrjsRsfu9JmHtb3c,"G SUBRAMANYA (SRIVIDYA VEDA PATHASHALA)","","3rd Cross Rd, BSV Reddy Layout, Ramamurthy Nagar, Bengaluru, Karnataka 560016, Indien","BSV Reddy Layout, Ramamurthy Nagar",13.01293640000000,77.67464149999999,SearchResult.TYPE_SCHOOL,+918025657275
null,ChIJf4mMQUc3VToRF5DQfh5yUkc,"Dayanandha veda patasala","","Keela Veedhi, Kudavasal, Tamil Nadu 612601, Indien","null",10.85782440000000,79.48286840000000,SearchResult.TYPE_TEMPLE,
null,ChIJrSo8ToEVrjsRbA30qwY2tv0,"SRI SHANKARA VEDA PATASHALE","","# 1819, 12th Main, 31st Cross Rd, Banashankari Stage II, Bengaluru, Karnataka 560070, Indien","Banashankari Stage II, Banashankari",12.91968230000000,77.56697710000000,SearchResult.TYPE_UNIVERSITY,+919480156689
null,ChIJzVIzNkENrjsRO5vcGfZ_GqA,"Namma Sampradaya Charitable and Education Trust","","Jnana Jyothi Campus, Katriguppe Village, Neriga Post, Bengaluru, Karnataka 562125, Indien","null",12.90233100000000,77.76386900000000,SearchResult.TYPE_SCHOOL,+919480205088
null,ChIJsSOq6VHNqjsRUavWyHhQuVY,"Raaja Veda Kavya Patasala","","29-30, East Iyen Street,, Entrance Yaga Salari Street, Kumbakonam, Tamil Nadu 612001, Indien","Karna Kollai Agraharam, Valayapettai Agraharam",10.96461660000000,79.37346029999999,SearchResult.TYPE_SCHOOL,+914352401789
null,ChIJ30nGM6MVrjsR0MR-LFhX_Ls,"Vasavi Veda Nidhi","","335-337, 22nd Cross Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block East, Jayanagar, Bengaluru, Karnataka 560011, Indien","Jaya Nagar 1st Block, Jayanagar 3rd Block East, Jayanagar",12.93242480000000,77.58863190000000,SearchResult.TYPE_HINDU_TEMPLE,+918022440077
null,ChIJReKYYMFdUjoRXxWyPF5uC1U,"Kalavai Guruparampara Veda Vidya Trust Patasala","","3rd Cross St, Rajaji Nagar, Kuberan Nagar Extention, Madipakkam, Chennai, Tamil Nadu 600091, Indien","Rajaji Nagar, Kuberan Nagar Extention, Madipakkam",12.96152820000000,80.20449459999999,SearchResult.TYPE_SCHOOL,
null,ChIJpaXKuonFqTsRHo433ciHaes,"Kaniyur Brahma Vidya Trust","","#52, Kaniyur Agraharam, Madathukulam Taluk, Udumalaipettai, Tirupur, Tamil Nadu 642203, Indien","null",10.60415590000000,77.38028670000000,SearchResult.TYPE_SCHOOL,+919952699793
null,ChIJoxTY1UWouzsRVO_ofn31eRo,"Gayathri veda paathashaala","","Hosahalli, Karnataka 577202, Indien","null",13.88085160000000,75.56005250000000,SearchResult.TYPE_SCHOOL,
null,ChIJA8p44ooZrjsRfjoRBkSAM-4,"Sri Shankara Veda Patha Shale","","# 15, Kshetrapala Prakruthi Layout, Kodigehalli, Virupakshapura, Bengaluru, Karnataka 560097, Indien","Ganesh Nagar Layout, Maruthi Layout, Virupakshapura",13.06249730000000,77.57057200000000,null,+919480156689
null,ChIJ28dFvurJqjsREQyqqGD7RtE,"Sri Veda Vidya Gurukulum","","Kalancheri, Tamil Nadu 613504, Indien","null",10.81418010000000,79.26774950000000,SearchResult.TYPE_SCHOOL,+919626636650
null,ChIJLZm83GZnUjoRNYnfe_GD6iI,"Vedabhavan Veda patasala","","14,  38, Chakrapani St Ext, Rangarajapuram, West Mambalam, Chennai, Tamil Nadu 600033, Indien","Rangarajapuram, West Mambalam",13.04528350000000,80.22383860000000,SearchResult.TYPE_SCHOOL,
null,ChIJR6bVM_IVrjsRjj6udNlzJqs,"Karanikara Pathashala (MKVD)","","68, Vanivilas Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, Indien","Gandhi Bazaar, Basavanagudi",12.94791800000000,77.57066010000000,SearchResult.TYPE_HINDU_TEMPLE,+918026607660
null,ChIJPxby35PCUjoRRJ61xJRXQfI,"Kanchi Kamakoti Peetam Veda Patasala","","No 8, Anaikatti St, Nethaji Nagar, Kanchipuram, Tamil Nadu 631501, Indien","Nethaji Nagar",12.81821090000000,79.72253099999999,SearchResult.TYPE_SCHOOL,
null,ChIJvfDqt2nqqjsRgSl8RwyxnQM,"Sri Narayanateertha Veda Patasala","","Varagur, Tamil Nadu 613101, Indien","null",10.84262970000000,78.99818110000000,SearchResult.TYPE_SCHOOL,
null,ChIJhfxE4c2DUjoRTSK4OuXNAcI,"Shankaracharya veda patasala","","Unnamed Road, Thandalam, Tamil Nadu 601102, Indien","null",13.31262510000000,80.00583979999999,SearchResult.TYPE_SCHOOL,
null,ChIJ1_fgHZA2VToRM-LXLuzYnzY,"Swami Dayananda Veda Patasala","","Kudavasal, Tamil Nadu 612601, Indien","null",10.85636740000000,79.48267960000000,SearchResult.TYPE_SCHOOL,+914366262345
null,ChIJ0_-8EzvPADsRb_4qpJ2rbBU,"SRI NARAYANA JANA SEVA TRUST","","4/210 RIG VEDA PATASALA, AGRAHARAM, Vilacheri, Tamil Nadu 625006, Indien","null",9.89578690000000,78.06091380000000,null,
null,ChIJm9vlHTLgVDoRdCeij0osu9E,"Srimathi Jayanthi Janakiraman Ninaivu Dravida Veda Agama Padasala (Nangur Patasala)","","4/8, North Agraharam, Thirunangur, Sirkazhi Taluk,, Nagapattinam district, Nangur, Tamil Nadu 609106, Indien","null",11.17981900000000,79.77934119999999,SearchResult.TYPE_SCHOOL,+914364275697
null,ChIJFaISUzU-rjsR-JqXD6WaJnA,"Shri Gautama Veda Pathashala","","FF-1 Sapthagiri Residency VI, TG Layout, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085, Indien","TG Layout, Ittamadu, Banashankari 3rd Stage, Hosakerehalli",12.91947780000000,77.53946580000000,SearchResult.TYPE_SKILL_INSTRUCTION,+919972955122
null,ChIJ6e1lZ7VnUjoRXQl7UNUnUhI,"Seetharama Gurukulam Veda Patasala","","New 486 (Old No. 176, TT Krishnamachari Rd, Alwarpet, Chennai, Tamil Nadu 600018, Indien","Seetammal Colony, MIG Colony, Alwarpet",13.03453580000000,80.25374049999999,SearchResult.TYPE_SCHOOL,+914424361210
null,ChIJWfLetP4WUzoRG-dHs_YQw9w,"Sri Baala Veda Patasala","","109,GST Road,, Kadamalaiputhur Village Perumberkandigai Post, Acharapakkam, Tamil Nadu 603310, Indien","null",12.37714300000000,79.78923700000000,SearchResult.TYPE_SCHOOL,+919840912762
null,ChIJdR0rl-JArjsRNJ0l7mQfBig,"Veda Agama Samskrutha Maha Patashala, Sri Sri Gurukul","","Sanskrit School, Bengaluru, Karnataka 560082, Indien","null",12.82835960000000,77.50283170000000,SearchResult.TYPE_SCHOOL,+918026080210
null,ChIJ7VJsNFDNqjsRfg9A2Oak2ps,"RAJA VEDA PATASALA","","Valayapettai Agraharam, Kumbakonam, Tamil Nadu 612001, Indien","Valayapettai Agraharam",10.96493130000000,79.37164870000000,SearchResult.TYPE_SCHOOL,
null,ChIJReKYYMFdUjoRXxWyPF5uC1U,"Kalavai Guruparampara Veda Vidya Trust Patasala","","3rd Cross St, Rajaji Nagar, Kuberan Nagar Extention, Madipakkam, Chennai, Tamil Nadu 600091, Indien","Rajaji Nagar, Kuberan Nagar Extention, Madipakkam",12.96152820000000,80.20449459999999,SearchResult.TYPE_SCHOOL,
null,ChIJm6A4zJw9rjsR5_PGMN6Lb2o,"Sri Sachidananda Advaitha Veda Patasala","","Door No,  1012, 66th Cross Rd, 5th Block, Jedara Halli, Rajajinagar, Bengaluru, Karnataka 10, Indien","5th Block, Jedara Halli, Rajajinagar",12.98252600000000,77.55063659999999,SearchResult.TYPE_HINDU_TEMPLE,
null,ChIJLZm83GZnUjoRNYnfe_GD6iI,"Vedabhavan Veda patasala","","14,  38, Chakrapani St Ext, Rangarajapuram, West Mambalam, Chennai, Tamil Nadu 600033, Indien","Rangarajapuram, West Mambalam",13.04528350000000,80.22383860000000,SearchResult.TYPE_SCHOOL,
null,ChIJ4Xk88oe_rDsRbwwPednoLbg,"Ma Devaki Veda Patasala","","115G, Puduchery Rd, TSR Nagar, Tiruvannamalai, Tamil Nadu 606603, Indien","TSR Nagar",12.21787350000000,79.05432650000000,SearchResult.TYPE_SCHOOL,+919443317942
null,ChIJ5whnRX8VrjsRk2hlpWMMFhE,"Veda Pata","","33rd Cross Rd, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070, Indien","Banashankari Stage II, Banashankari",12.91986600000000,77.56692450000000,SearchResult.TYPE_UNIVERSITY,
null,ChIJF_uaVOvpBjsRM50JhMTfz6I,"Ramco Veda Patasala","","Tamil Nadu 626117, Indien","null",9.42805560000000,77.53916670000000,SearchResult.TYPE_TEMPLE,
null,ChIJOQgpT1vNqjsRv6OxtxMWHxQ,"Sri Mantra Peeteswari Veda Patasala","","125/5 Govindha DIKSHITAR COLONY, Solaiappan St, Kumbakonam, Tamil Nadu 612001, Indien","Valayapettai Agraharam",10.96407360000000,79.36447790000000,SearchResult.TYPE_SCHOOL,+919840318675
null,ChIJf4mMQUc3VToRF5DQfh5yUkc,"Dayanandha veda patasala","","Keela Veedhi, Kudavasal, Tamil Nadu 612601, Indien","null",10.85782440000000,79.48286840000000,SearchResult.TYPE_TEMPLE,
null,ChIJPxby35PCUjoRRJ61xJRXQfI,"Kanchi Kamakoti Peetam Veda Patasala","","No 8, Anaikatti St, Nethaji Nagar, Kanchipuram, Tamil Nadu 631501, Indien","Nethaji Nagar",12.81821090000000,79.72253099999999,SearchResult.TYPE_SCHOOL,
null,ChIJAQAAANRtqDsRgR7undkFw4k,"VEDA SASTHRA VIDHYA TRUST","","SNV Patasala Samrakshana Samithi, SNV Patasala, Pallatheri, Kerala 678007, Indien","Sahyadri Colony, Chandranagar Colony",10.77497500000000,76.68169619999999,null,+919447879606
null,ChIJFTaYE-ZYqDsRq_l1tYPQ-M8,"VEDA SASTHRA VIDHYA TRUST","","No: 239, Alagesan Rd, Jawahar Nagar, Coimbatore, Tamil Nadu 641011, Indien","Jawahar Nagar",11.02289930000000,76.94602210000000,null,+919894619671
null,ChIJsSOq6VHNqjsRUavWyHhQuVY,"Raaja Veda Kavya Patasala","","29-30, East Iyen Street,, Entrance Yaga Salari Street, Kumbakonam, Tamil Nadu 612001, Indien","Karna Kollai Agraharam, Valayapettai Agraharam",10.96461660000000,79.37346029999999,SearchResult.TYPE_SCHOOL,+914352401789
null,ChIJf8RBL513rzsRA8jtgvk6Pqk,"Sri vedamata veda Gurukula Pathashala","","Poornaiah Rd, Srirangapatna, Karnataka 571438, Indien","null",12.42439660000000,76.68719349999999,SearchResult.TYPE_SCHOOL,+919341257336
null,ChIJFTaYE-ZYqDsRPb4qPfmeNRo,"VEDA SASTHRA VIDHYA TRUST","","239, Alagesan Rd, Jawahar Nagar, Coimbatore, Tamil Nadu 641011, Indien","Jawahar Nagar",11.02289930000000,76.94602210000000,null,+919894619671
null,ChIJcbjqphxfUjoRbug70QlfzvA,"Veda Patasala","","3rd St, Aravind Nagar, Madambakkam, Chennai, Tamil Nadu 600126, Indien","Aravind Nagar, Madambakkam",12.90886120000000,80.16248089999999,SearchResult.TYPE_SCHOOL,
